"","Symbol","Date","Prev.Close","Open.Price","High.Price","Low.Price","Close.Price","Average.Price","Total.Traded.Quantity","MA30","MA50","MA100","MA200"
"1921","UTIBANK","12-Apr-07",467.8,465,465,452.25,463.25,462.3,467965,470.9033333,496.936,490.9055,418.9145
"1922","UTIBANK","13-Apr-07",463.25,469,478,465.6,468.9,471.99,1185080,471.1766667,496.234,490.9245,419.82675
"1923","UTIBANK","16-Apr-07",468.9,475,478.4,467.7,468.9,470.84,1073491,470.6483333,494.92,490.758,420.8015
"1924","UTIBANK","17-Apr-07",468.9,475,475,463.3,465.1,469.95,1615996,470.4783333,493.379,490.5585,421.757
"1925","UTIBANK","18-Apr-07",465.1,470.15,476,468.1,471.3,472.91,1653442,471.3016667,491.05,490.349,422.768
"1926","UTIBANK","19-Apr-07",471.3,469.95,470.9,456.25,464.6,465.59,910222,472.4183333,489.046,489.959,423.819
"1927","UTIBANK","20-Apr-07",464.6,470,472.9,460.1,466.25,467.29,536553,474.115,487.418,489.5695,424.8105
"1928","UTIBANK","23-Apr-07",466.25,470.4,472,460,462.95,466.04,402003,475.01,485.62,489.2045,425.746
"1929","UTIBANK","24-Apr-07",462.95,461,478.5,458,468.2,471.93,2573309,475.4033333,483.702,488.9215,426.6825
"1930","UTIBANK","25-Apr-07",468.2,474.9,474.9,466,467.7,468.97,1210255,475.6916667,481.59,488.638,427.58975
"1931","UTIBANK","26-Apr-07",467.7,472.8,473,461.1,465.8,465.98,1718319,474.765,479.829,488.384,428.51425
"1932","UTIBANK","27-Apr-07",465.8,466.15,469,453.05,455,461.7,659217,474.1716667,478.569,488.2355,429.41875
"1933","UTIBANK","30-Apr-07",455,440,469.7,436.2,468.2,455.66,1023749,474.135,477.518,488.1745,430.3885
"1934","UTIBANK","3-May-07",468.2,470,482,469.9,473.25,477.72,2314495,474.9533333,476.052,487.972,431.3715
"1935","UTIBANK","4-May-07",473.25,477,489,474,480.1,480.37,2882518,475.2883333,474.703,487.8145,432.389
"1936","UTIBANK","7-May-07",480.1,486,509.9,483.05,506.6,494.22,4767963,476.7483333,474.201,487.9675,433.5565
"1937","UTIBANK","8-May-07",506.6,505,515.5,499,506.7,508.73,1568242,477.6016667,473.606,488.2045,434.7195
"1938","UTIBANK","9-May-07",506.7,505,520,499.1,518.15,510.38,1251701,478.0766667,473.577,488.556,436.009
"1939","UTIBANK","10-May-07",518.15,518.15,540,517.5,523.55,528.37,2223461,478.04,474.229,489.142,437.3605
"1940","UTIBANK","11-May-07",523.55,501.1,527,501.1,520.45,518.47,983001,478.07,474.729,489.908,438.693
"1941","UTIBANK","14-May-07",520.45,523,529,521,525.45,524.88,383232,479.0733333,475.485,490.8495,440.00225
"1942","UTIBANK","15-May-07",525.45,526,538.9,522.35,534.25,533.21,853883,480.8816667,476.956,491.777,441.37175
"1943","UTIBANK","16-May-07",534.25,537,544.9,537,541.95,541.16,888151,482.6,478.1,492.7145,442.7035
"1944","UTIBANK","17-May-07",541.95,543.25,548.5,540,543.9,545.76,1022198,485.42,479.574,493.567,443.93575
"1945","UTIBANK","18-May-07",543.9,535,551,520,536.75,543.54,624770,487.795,481.377,494.21,445.0595
"1946","UTIBANK","21-May-07",536.75,530,558,530,555.75,553.7,701245,491.03,483.87,495.0865,446.35675
"1947","UTIBANK","22-May-07",555.75,557,570.15,557,566.5,563.97,896297,494.865,486.893,496.1185,447.70075
"1948","UTIBANK","23-May-07",566.5,567,591.9,564.15,581.3,582.63,1110055,497.5966667,489.797,497.275,449.119
"1949","UTIBANK","24-May-07",581.3,579,580.5,558,571.9,567.05,1002954,500.35,492.107,498.381,450.47125
"1950","UTIBANK","25-May-07",571.9,562,579,559.55,564.45,566.92,834824,503.5716667,494.215,499.3895,451.704
"1951","UTIBANK","28-May-07",564.45,575.5,587,553.2,555.3,562.64,771034,506.64,495.449,500.2755,452.87275
"1952","UTIBANK","29-May-07",555.3,555,565.2,555,561.9,561.11,271768,509.74,497.231,501.3305,454.09225
"1953","UTIBANK","30-May-07",561.9,560,574,550,559.8,559.74,686686,512.77,499.041,502.2325,455.28475
"1954","UTIBANK","31-May-07",559.8,574,580,555,574.95,570.36,817052,516.4316667,501.566,503.303,456.55775
"1955","UTIBANK","1-Jun-07",574.95,580,588,573.05,577,577.81,697067,519.955,503.705,504.3265,457.8045
"1956","UTIBANK","4-Jun-07",577,589.9,589.9,551.3,575.85,577.02,307782,523.6633333,505.966,505.3425,459.01375
"1957","UTIBANK","5-Jun-07",575.85,578.75,585,565,578.7,575.55,968057,527.4116667,507.918,506.401,460.25725
"1958","UTIBANK","6-Jun-07",578.7,596.05,598.7,568,575.55,576.23,411773,531.165,509.351,507.501,461.485
"1959","UTIBANK","7-Jun-07",575.55,556,578.7,556,569.9,569.5,201656,534.555,510.256,508.5275,462.66475
"1960","UTIBANK","8-Jun-07",569.9,560,566.9,556,558.95,560.53,546540,537.5966667,511.044,509.501,463.79775
"1961","UTIBANK","11-Jun-07",558.95,564,569.85,560,565.85,564.22,205233,540.9316667,512.454,510.374,464.97825
"1962","UTIBANK","12-Jun-07",565.85,567.3,590,561.05,586.35,579.27,906408,545.31,514.581,511.2395,466.25675
"1963","UTIBANK","13-Jun-07",586.35,586,592,575.2,585.05,583.87,368852,549.205,516.474,511.757,467.5505
"1964","UTIBANK","14-Jun-07",585.05,588,596.5,578.35,585.85,585.08,702783,552.9583333,519.005,512.104,468.808
"1965","UTIBANK","15-Jun-07",585.85,587.8,603.9,585.25,599.75,598.8,580054,556.9466667,521.69,512.6255,470.161
"1966","UTIBANK","18-Jun-07",599.75,604,618.5,604,609.4,609.91,653092,560.3733333,524.704,513.25,471.49275
"1967","UTIBANK","19-Jun-07",609.4,581.6,617,575.3,613.45,605.07,416999,563.9316667,527.944,514.032,472.8135
