,Symbol,Series,Date,Prev.Close,Open.Price,High.Price,Low.Price,Last.Price,Close.Price,Average.Price,Total.Traded.Quantity,Turnover,No..of.Trades,Deliverable.Qty,X..Dly.Qt.to.Traded.Qty,,,MA30,MA50,MA100,MA200
49,UTIBANK,EQ,12-Mar-99,15.35,14.75,15.25,14.75,15.05,15.05,14.94,30300,452600,-,-,-,,,15.36333333,,,
50,UTIBANK,EQ,15-Mar-99,15.05,14.75,14.9,14.25,14.75,14.75,14.55,14700,213940,-,-,-,,,15.33833333,15.846,,
51,UTIBANK,EQ,16-Mar-99,14.75,14.4,14.65,13.8,13.8,13.8,14.08,63200,889670,-,-,-,,,15.28,15.784,,
52,UTIBANK,EQ,17-Mar-99,13.8,14.85,14.85,14.15,14.25,14.25,14.25,9300,132545,-,-,-,,,15.23,15.732,,
53,UTIBANK,EQ,18-Mar-99,14.25,14.35,14.5,14.15,14.5,14.5,14.35,52300,750385,-,-,-,,,15.195,15.702,,
54,UTIBANK,EQ,19-Mar-99,14.5,14.75,14.75,14.2,14.3,14.3,14.35,19400,278410,-,-,-,,,15.155,15.669,,
55,UTIBANK,EQ,20-Mar-99,14.3,14.05,14.45,14.05,14.25,14.25,14.39,4400,63300,-,-,-,,,15.11833333,15.597,,
56,UTIBANK,EQ,22-Mar-99,14.25,14.1,14.1,13,13.8,13.8,13.79,17800,245380,-,-,-,,,15.075,15.513,,
57,UTIBANK,EQ,23-Mar-99,13.8,14.4,14.4,13.25,13.55,13.55,13.61,33700,458805,-,-,-,,,15.01833333,15.438,,
58,UTIBANK,EQ,24-Mar-99,13.55,14.5,14.5,13.9,13.95,13.95,14.06,22500,316385,-,-,-,,,14.97333333,15.374,,
59,UTIBANK,EQ,25-Mar-99,13.95,14.35,14.5,14,14.1,14.1,14.2,12600,178910,-,-,-,,,14.935,15.317,,
60,UTIBANK,EQ,26-Mar-99,14.1,14,14.3,13.75,13.9,13.9,13.91,9200,127935,-,-,-,,,14.89166667,15.255,,
61,UTIBANK,EQ,30-Mar-99,13.9,13.5,13.75,13.1,13.35,13.35,13.43,21600,290010,-,-,-,,,14.84333333,15.194,,
62,UTIBANK,EQ,31-Mar-99,13.35,13.8,14.1,13.8,14.05,14.05,14.01,12600,176540,-,-,-,,,14.81,15.143,,
63,UTIBANK,EQ,1-Apr-99,14.05,14.1,14.1,13.8,14,14,13.98,7600,106255,-,-,-,,,14.77666667,15.098,,
