Symbol,Date,Prev.Close,Open.Price,High.Price,Low.Price,Close.Price,Average.Price,Total.Traded.Quantity,MA30,MA50,MA100,MA200
UTIBANK,11-Jan-00,25,24.25,24.8,23,23.2,23.9,91700,24.94166667,21.712,19.706,17.853
UTIBANK,12-Jan-00,23.2,22.6,24.5,22.6,24,23.97,32500,24.91,21.868,19.7665,17.9105
UTIBANK,13-Jan-00,24,24.5,24.5,23.1,23.6,23.77,48300,24.92833333,22.016,19.8175,17.965
UTIBANK,14-Jan-00,23.6,24,24.2,22.5,23.25,23.17,30700,24.93833333,22.151,19.8735,18.01525
UTIBANK,17-Jan-00,23.25,24.5,25.15,24.25,25.15,25.09,82400,25.04666667,22.328,19.945,18.076
UTIBANK,18-Jan-00,25.15,26.5,26.5,24.3,24.9,24.94,110400,25.12666667,22.495,20.0125,18.1345
UTIBANK,19-Jan-00,24.9,24.75,26,24.75,25.6,25.56,89300,25.19666667,22.684,20.0895,18.19625
UTIBANK,20-Jan-00,26.25,25.7,25.7,25.7,25.7,25.7,500,25.33333333,22.873,20.1665,18.2565
UTIBANK,20-Jan-00,25.6,26.1,26.25,24.3,24.45,25.05,103500,25.39666667,23.039,20.2325,18.31
UTIBANK,21-Jan-00,24.45,25,25.3,24.3,25.1,24.79,47300,25.42166667,23.218,20.3015,18.367
UTIBANK,24-Jan-00,25.1,25.6,25.75,24.6,24.8,25.03,102400,25.37166667,23.392,20.371,18.42225
UTIBANK,25-Jan-00,25.7,25.3,25.3,25.3,25.3,25.3,100,25.26833333,23.577,20.443,18.4825
UTIBANK,25-Jan-00,24.8,25,25.4,24.05,25.05,24.9,131700,25.20333333,23.752,20.5155,18.54025
UTIBANK,27-Jan-00,25.3,27.05,27.05,27,27,27.01,345,25.195,23.964,20.6055,18.60475
UTIBANK,27-Jan-00,25.05,25.85,27.05,25.25,27.05,26.8,201400,25.16333333,24.172,20.6965,18.67
UTIBANK,28-Jan-00,27.05,28,29.25,27.1,29.25,29.04,311600,25.24833333,24.422,20.814,18.74675
UTIBANK,31-Jan-00,27,31.6,31.6,31.6,31.6,31.6,300,25.44833333,24.724,20.9545,18.8265
UTIBANK,31-Jan-00,29.25,31,31.6,30.1,31.6,31.45,317000,25.69,25.019,21.093,18.909
UTIBANK,1-Feb-00,31.6,33.9,33.9,33.9,33.9,33.9,95,26.06333333,25.353,21.2565,19.0055
UTIBANK,1-Feb-00,31.6,32.95,34.15,32.95,34.15,34.11,201000,26.40333333,25.662,21.426,19.1045
UTIBANK,2-Feb-00,34.15,36.9,36.9,36.9,36.9,36.9,65800,26.82666667,25.932,21.621,19.21775
